week,week_start,week_end,team,opponent,H,AB,R,HR,RBI,SB,AVG,OPS,OPS_WEIGHT,IP,SV,K,ERA,WHIP,KBB,QS
18,2026-07-27,2026-08-02,STANTONIOUS,NY ZOHRAN 🔥,79,245,38,5,34,4,0.322,0.829,272.222222,104.1,6,90,3.71,1.24,2.2,9
18,2026-07-27,2026-08-02,NY ZOHRAN 🔥,STANTONIOUS,61,244,34,10,30,8,0.25,0.773,271.111111,100.0,5,96,3.96,1.26,2.4,6
18,2026-07-27,2026-08-02,Springers Dingers,Maestro Max,57,262,31,10,32,7,0.218,0.699,291.111111,74.0,8,73,4.01,1.24,2.7,5
18,2026-07-27,2026-08-02,Maestro Max,Springers Dingers,68,259,38,6,39,9,0.263,0.774,287.777778,88.1,5,94,1.43,0.87,4.48,7
18,2026-07-27,2026-08-02,Bleacherboysfan1,The Big Kahuna,57,270,27,11,30,0,0.211,0.7,300.0,95.0,8,85,3.88,1.31,2.18,7
18,2026-07-27,2026-08-02,The Big Kahuna,Bleacherboysfan1,68,260,37,10,27,10,0.262,0.731,288.888889,86.2,1,88,5.3,1.5,2.59,5
18,2026-07-27,2026-08-02,Andrethegiant,Vaterlaus,64,256,31,8,25,4,0.25,0.678,284.444444,72.2,0,70,4.46,1.11,5.0,6
18,2026-07-27,2026-08-02,Vaterlaus,Andrethegiant,65,276,29,8,31,7,0.236,0.665,306.666667,85.0,0,85,3.49,1.27,2.24,6
19,2026-08-03,2026-08-09,STANTONIOUS,Springers Dingers,60,245,31,12,38,3,0.245,0.746,272.222222,89.1,1,99,3.73,1.09,3.3,7
19,2026-08-03,2026-08-09,Springers Dingers,STANTONIOUS,59,240,43,18,40,3,0.246,0.863,266.666667,53.2,3,55,3.35,1.17,4.23,5
19,2026-08-03,2026-08-09,Maestro Max,Vaterlaus,56,251,32,5,27,4,0.223,0.644,278.888889,96.0,5,98,3.0,1.05,4.26,6
19,2026-08-03,2026-08-09,Vaterlaus,Maestro Max,53,276,34,6,28,3,0.192,0.562,306.666667,94.1,0,104,3.91,1.2,3.15,8
19,2026-08-03,2026-08-09,NY ZOHRAN 🔥,The Big Kahuna,70,264,45,14,35,6,0.265,0.809,293.333333,87.2,3,89,3.39,1.22,2.41,8
19,2026-08-03,2026-08-09,The Big Kahuna,NY ZOHRAN 🔥,51,210,31,11,26,4,0.243,0.771,233.333333,69.2,3,56,4.52,1.36,1.93,3
19,2026-08-03,2026-08-09,Andrethegiant,Bleacherboysfan1,68,261,39,9,46,7,0.261,0.731,290.0,58.1,0,40,7.56,1.85,1.29,1
19,2026-08-03,2026-08-09,Bleacherboysfan1,Andrethegiant,65,247,42,7,31,6,0.263,0.777,274.444444,93.0,3,83,2.71,1.16,3.77,10
